Estimated values:[[  6.29481963e-06]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  9.99998359e-01]
 [  9.37494823e-01]
 [  4.87237224e-03]
 [  9.19134889e-01]
 [  9.38241814e-01]
 [  1.00000000e+00]
 [  9.06170438e-01]
 [  1.00000000e+00]
 [  5.59540524e-19]
 [  9.75176620e-01]
 [  1.00000000e+00]
 [  9.99998295e-01]
 [  2.58140306e-17]
 [  9.99999849e-01]
 [  1.00000000e+00]
 [  8.67067118e-01]
 [  1.00000000e+00]
 [  9.95892505e-01]
 [  1.00000000e+00]
 [  8.20928504e-01]
 [  1.00000000e+00]
 [  5.76291232e-19]
 [  9.99998348e-01]
 [  5.60337865e-02]
 [  9.89878097e-01]
 [  9.19061792e-01]
 [  6.31657790e-19]
 [  9.99999962e-01]
 [  5.05072806e-03]
 [  1.00000000e+00]
 [  5.64865942e-19]
 [  1.00000000e+00]
 [  5.59317551e-19]
 [  9.99997815e-01]
 [  9.99902463e-01]
 [  8.96767171e-01]
 [  5.59438881e-19]
 [  1.00000000e+00]
 [  9.99998295e-01]
 [  9.99996839e-01]
 [  9.89880267e-01]
 [  1.00000000e+00]
 [  1.99347874e-15]
 [  1.00000000e+00]
 [  5.59452468e-19]
 [  9.99998298e-01]
 [  9.97536148e-01]
 [  5.59330889e-19]
 [  9.99999987e-01]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  5.59321653e-19]
 [  5.59324112e-19]
 [  1.00000000e+00]
 [  9.75034449e-02]
 [  5.59648747e-19]
 [  9.61012177e-01]
 [  1.00000000e+00]
 [  5.59665366e-19]
 [  1.00000000e+00]
 [  9.89920091e-01]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  8.83743995e-17]
 [  5.55314822e-16]
 [  6.19731934e-19]
 [  5.59337853e-19]
 [  1.93034711e-16]
 [  2.71063250e-11]
 [  1.00000000e+00]
 [  9.99999998e-01]
 [  1.00000000e+00]
 [  9.18987430e-01]
 [  8.68836690e-19]
 [  9.99998295e-01]
 [  6.23621805e-02]
 [  1.82503881e-02]
 [  1.00000000e+00]
 [  9.99999023e-01]
 [  9.99999316e-01]
 [  9.76112273e-01]
 [  1.00000000e+00]
 [  9.99998301e-01]
 [  9.19059447e-01]
 [  5.59842189e-19]
 [  9.99999993e-01]
 [  5.59367264e-19]
 [  1.00000000e+00]
 [  9.99995414e-01]
 [  1.00000000e+00]
 [  5.67750981e-19]
 [  9.99996962e-01]
 [  1.54211109e-02]
 [  9.19063807e-01]
 [  5.59365151e-19]
 [  7.73321674e-19]
 [  9.18609317e-01]
 [  9.99978943e-01]
 [  1.00000000e+00]
 [  9.99467659e-01]
 [  6.04173058e-19]
 [  1.56610542e-03]
 [  5.59343170e-19]
 [  9.97551580e-01]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  2.72414048e-10]
 [  5.99035625e-19]
 [  1.00000000e+00]
 [  9.24351218e-02]
 [  8.92208882e-01]
 [  9.99999988e-01]
 [  6.17008092e-19]
 [  9.16833943e-01]
 [  9.89737140e-01]
 [  6.94467101e-03]
 [  9.89879752e-01]
 [  9.99158927e-01]
 [  5.59355194e-19]
 [  1.00000000e+00]
 [  9.99998294e-01]
 [  1.00000000e+00]
 [  3.80512110e-03]
 [  9.89879429e-01]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  9.99990444e-01]
 [  1.00000000e+00]
 [  6.03507163e-19]
 [  9.99625709e-01]
 [  9.99998356e-01]
 [  9.99996566e-01]
 [  8.88615885e-02]
 [  1.00000000e+00]
 [  9.80522090e-01]
 [  9.17037095e-01]
 [  5.59574170e-19]
 [  5.74696265e-19]
 [  1.00000000e+00]
 [  5.09987513e-01]
 [  4.83612932e-05]
 [  5.59344371e-19]
 [  6.97378816e-19]
 [  1.51862697e-17]
 [  7.98149599e-01]
 [  1.00000000e+00]
 [  9.97622159e-01]
 [  1.00000000e+00]
 [  1.24672685e-18]
 [  5.17253137e-12]
 [  9.90079774e-01]
 [  2.33872753e-02]
 [  5.59559840e-19]
 [  5.59719973e-19]
 [  8.95057629e-01]
 [  7.60920910e-19]
 [  9.89761312e-01]
 [  1.00000000e+00]
 [  2.68561414e-18]
 [  9.59839804e-01]
 [  9.19054037e-01]
 [  9.99998313e-01]
 [  9.92106789e-01]
 [  9.25402126e-01]
 [  1.00000000e+00]
 [  9.99999867e-01]
 [  9.64715238e-19]
 [  5.59322293e-19]
 [  9.99998962e-01]
 [  7.10305917e-19]
 [  9.47888808e-01]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  5.59353335e-19]
 [  1.00000000e+00]
 [  9.18833323e-01]
 [  9.19155002e-02]
 [  9.89908213e-01]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  9.41494023e-02]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  9.08011583e-01]
 [  9.99998007e-01]
 [  9.99998294e-01]
 [  9.80149831e-01]
 [  9.85566033e-01]
 [  1.00000000e+00]
 [  5.59327444e-19]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  8.78790358e-01]
 [  1.41533360e-17]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  9.99998378e-01]
 [  9.99998301e-01]
 [  9.99999293e-01]
 [  1.00000000e+00]
 [  5.60331822e-19]
 [  9.89887102e-01]
 [  5.63087855e-19]
 [  9.90393070e-01]
 [  9.86370873e-01]
 [  1.90514684e-18]
 [  9.99999602e-01]
 [  7.41404356e-19]
 [  9.18857130e-01]
 [  9.18359674e-01]
 [  1.00000000e+00]
 [  9.38171588e-01]
 [  5.02355132e-13]
 [  1.00000000e+00]
 [  6.44862815e-05]
 [  9.18593313e-01]
 [  6.16394882e-06]
 [  8.16306510e-19]
 [  1.71267699e-01]
 [  4.11553080e-09]
 [  5.63650915e-19]
 [  1.00000000e+00]
 [  9.88657429e-01]
 [  9.89878905e-01]
 [  3.62519454e-04]
 [  1.00000000e+00]
 [  1.62187740e-16]
 [  9.89876511e-01]
 [  4.65149662e-02]
 [  5.59318400e-19]
 [  5.59424365e-19]
 [  9.87614387e-01]
 [  9.18992131e-01]
 [  5.75529109e-02]
 [  1.00000000e+00]
 [  9.99999838e-01]
 [  1.62300868e-01]
 [  8.35887717e-06]
 [  1.00000000e+00]
 [  9.18905908e-01]
 [  5.59839299e-19]
 [  2.11942549e-01]
 [  1.00000000e+00]
 [  9.99999841e-01]
 [  9.18173302e-01]
 [  9.06800285e-01]
 [  5.59645314e-19]
 [  3.23706070e-03]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  5.59384852e-19]
 [  1.00000000e+00]
 [  5.87084935e-17]
 [  1.00000000e+00]
 [  9.99986547e-01]
 [  8.97984162e-04]
 [  1.02329125e-01]
 [  5.59317053e-19]
 [  5.66654253e-19]
 [  1.00000000e+00]
 [  1.91370945e-09]
 [  1.00000000e+00]
 [  9.99609913e-01]
 [  6.06452544e-19]
 [  9.20317704e-01]
 [  1.00000000e+00]
 [  5.62965170e-19]
 [  9.89881569e-01]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  9.90148631e-01]
 [  1.00000000e+00]
 [  3.36925230e-10]
 [  1.00000000e+00]
 [  9.96299119e-01]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  6.32254325e-19]
 [  9.89882371e-01]
 [  9.99998319e-01]
 [  5.59343056e-19]
 [  9.99998284e-01]
 [  9.99999992e-01]
 [  1.42494822e-18]
 [  6.68708131e-19]
 [  9.51965419e-18]
 [  6.16513651e-19]
 [  5.64336623e-18]
 [  5.59794845e-19]
 [  7.46979582e-19]
 [  9.99996493e-01]
 [  5.97137306e-19]
 [  1.78499290e-11]
 [  5.59323247e-19]
 [  6.51377397e-11]
 [  1.00000000e+00]
 [  5.61976879e-19]
 [  9.89108450e-01]
 [  6.11831911e-07]
 [  5.59830133e-19]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.51617471e-17]
 [  1.00000000e+00]
 [  8.80056832e-19]
 [  5.59335671e-19]
 [  1.00000000e+00]
 [  3.39347650e-17]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  9.42587606e-01]
 [  9.19059317e-01]
 [  9.99998312e-01]
 [  9.89877448e-01]
 [  3.48370636e-18]
 [  1.00000000e+00]
 [  8.30267994e-02]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  9.99998322e-01]
 [  1.00000000e+00]
 [  1.49209380e-18]
 [  5.59328894e-19]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  5.98532941e-19]
 [  9.99999651e-01]
 [  4.07534462e-11]
 [  1.00000000e+00]
 [  9.64542716e-18]
 [  1.00000000e+00]
 [  3.54748854e-01]
 [  9.19718106e-01]
 [  1.00000000e+00]
 [  5.59649310e-19]
 [  9.99998847e-01]
 [  3.37289249e-04]
 [  9.99998527e-01]
 [  1.00000000e+00]
 [  9.52778879e-01]
 [  6.06395247e-05]
 [  2.71508405e-15]
 [  9.99998302e-01]
 [  4.68711264e-15]
 [  9.99999276e-01]
 [  9.89121012e-01]
 [  9.89894549e-01]
 [  9.19061188e-01]
 [  5.59684255e-19]
 [  1.85045156e-01]
 [  9.99999244e-01]
 [  1.00000000e+00]
 [  9.19061515e-01]
 [  1.00000000e+00]
 [  2.39370996e-01]
 [  1.00000000e+00]
 [  9.99998686e-01]
 [  9.99700361e-01]
 [  2.34126804e-18]
 [  6.32997441e-17]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  9.89898432e-01]
 [  4.68661897e-03]
 [  9.19061701e-01]
 [  9.19060608e-01]
 [  9.89902953e-01]
 [  2.45498854e-15]
 [  9.99970218e-01]
 [  8.67520010e-01]
 [  1.00000000e+00]
 [  9.89245260e-01]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.01065908e-01]
 [  9.31346130e-03]
 [  6.17854802e-03]
 [  1.00000000e+00]
 [  7.14487213e-19]
 [  9.99999268e-01]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  9.89882488e-01]
 [  5.70253548e-19]
 [  4.24237837e-07]
 [  9.99998985e-01]
 [  5.59604536e-19]
 [  5.59507366e-19]
 [  8.92505693e-02]
 [  1.67895020e-14]
 [  1.00000000e+00]
 [  9.10402313e-02]
 [  3.79167893e-05]
 [  9.01220783e-01]
 [  1.80162398e-18]
 [  9.21291266e-01]
 [  1.62288175e-18]
 [  6.02261300e-19]
 [  9.14218795e-01]
 [  1.00000000e+00]
 [  9.99997989e-01]
 [  5.56029324e-10]
 [  9.99999405e-01]
 [  6.56496419e-17]
 [  9.99998309e-01]
 [  1.11916259e-01]
 [  5.59511233e-19]
 [  5.59841979e-19]
 [  5.59568574e-19]
 [  9.99998262e-01]
 [  9.99998299e-01]
 [  5.77830053e-19]
 [  9.99999938e-01]
 [  9.33046952e-01]
 [  1.00000000e+00]
 [  9.59113552e-01]
 [  1.00000000e+00]
 [  3.20801590e-12]
 [  5.59507285e-19]
 [  1.00000000e+00]
 [  9.99999999e-01]
 [  6.31807315e-05]
 [  9.19056570e-01]
 [  1.05751215e-18]
 [  9.19061612e-01]
 [  1.00000000e+00]
 [  9.99999998e-01]
 [  6.31308081e-19]
 [  2.86279518e-05]
 [  8.08937138e-19]
 [  9.13145738e-02]
 [  6.56342154e-19]
 [  9.93468582e-01]
 [  1.38721300e-03]
 [  5.59340820e-19]
 [  1.00000000e+00]
 [  6.00414033e-18]
 [  9.99999826e-01]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  5.60669419e-19]
 [  5.59511735e-19]
 [  9.01646614e-01]
 [  5.59318764e-19]
 [  5.59350678e-19]
 [  1.00000000e+00]
 [  9.35319234e-01]
 [  1.00000000e+00]
 [  9.99998199e-01]
 [  9.89769909e-01]
 [  1.08069249e-17]
 [  5.59327284e-19]
 [  5.95925682e-14]
 [  9.19329444e-01]
 [  9.86903983e-01]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.00000000e+00]
 [  1.23332125e-04]
 [  5.59556362e-19]
 [  5.59910202e-19]
 [  9.19034773e-01]
 [  8.38964427e-10]
 [  1.00000000e+00]
 [  5.60195925e-19]
 [  9.11951359e-01]
 [  9.38690856e-01]
 [  9.90024078e-01]
 [  5.59329518e-19]
 [  9.99998297e-01]
 [  5.80809617e-12]
 [  1.00000000e+00]
 [  9.99999999e-01]
